product_sku,product_category,product_variant,currency,price_amount,product_features
5g.in,domain,create,USD,7.67,provider=openprovider
5g.in,domain,renew,USD,10.96,provider=openprovider
5g.in,domain,transfer,USD,7.67,provider=openprovider
6g.in,domain,create,USD,7.67,provider=openprovider
6g.in,domain,renew,USD,10.96,provider=openprovider
6g.in,domain,transfer,USD,7.67,provider=openprovider
aaa.pro,domain,create,USD,222,provider=openprovider
aaa.pro,domain,renew,USD,222,provider=openprovider
aaa.pro,domain,transfer,USD,222,provider=openprovider
abc.br,domain,create,USD,42.25,provider=openprovider
abc.br,domain,renew,USD,35.69,provider=openprovider
abc.br,domain,transfer,USD,0,provider=openprovider
abogado,domain,create,USD,29.98,provider=openprovider
abogado,domain,renew,USD,29.98,provider=openprovider
abogado,domain,transfer,USD,29.98,provider=openprovider
abr.it,domain,create,USD,19.56,provider=openprovider
abr.it,domain,renew,USD,19.56,provider=openprovider
abr.it,domain,transfer,USD,19.56,provider=openprovider
abruzzo.it,domain,create,USD,19.56,provider=openprovider
abruzzo.it,domain,renew,USD,19.56,provider=openprovider
abruzzo.it,domain,transfer,USD,19.56,provider=openprovider
ac,domain,create,USD,67.5,provider=openprovider
ac,domain,renew,USD,79.8,provider=openprovider
ac,domain,transfer,USD,67.5,provider=openprovider
ac.cn,domain,create,USD,34.34,provider=openprovider
ac.cn,domain,renew,USD,23.3,provider=openprovider
ac.cn,domain,transfer,USD,23.3,provider=openprovider
ac.ke,domain,create,USD,174.16,provider=openprovider
ac.ke,domain,renew,USD,174.16,provider=openprovider
ac.ke,domain,transfer,USD,174.16,provider=openprovider
ac.mu,domain,create,USD,98,provider=openprovider
ac.mu,domain,renew,USD,98,provider=openprovider
ac.mu,domain,transfer,USD,62,provider=openprovider
ac.ni,domain,create,USD,131,provider=openprovider
ac.ni,domain,renew,USD,170,provider=openprovider
ac.ni,domain,transfer,USD,48,provider=openprovider
ac.nz,domain,create,USD,27.36,provider=openprovider
ac.nz,domain,renew,USD,27.36,provider=openprovider
ac.nz,domain,transfer,USD,0,provider=openprovider
ac.rw,domain,create,USD,564.19,provider=openprovider
ac.rw,domain,renew,USD,564.19,provider=openprovider
ac.rw,domain,transfer,USD,45.38,provider=openprovider
ac.tz,domain,create,USD,73.59,provider=openprovider
ac.tz,domain,renew,USD,91.99,provider=openprovider
ac.tz,domain,transfer,USD,0,provider=openprovider
ac.vn,domain,create,USD,145,provider=openprovider
ac.vn,domain,renew,USD,145,provider=openprovider
ac.vn,domain,transfer,USD,0,provider=openprovider
aca.pro,domain,create,USD,222,provider=openprovider
aca.pro,domain,renew,USD,226,provider=openprovider
aca.pro,domain,transfer,USD,222,provider=openprovider
academy,domain,create,USD,52,provider=openprovider
academy,domain,renew,USD,52,provider=openprovider
academy,domain,transfer,USD,52,provider=openprovider
accountant,domain,create,USD,38,provider=openprovider
accountant,domain,renew,USD,40,provider=openprovider
accountant,domain,transfer,USD,38,provider=openprovider
accountants,domain,create,USD,119,provider=openprovider
accountants,domain,renew,USD,119,provider=openprovider
accountants,domain,transfer,USD,119,provider=openprovider
acct.pro,domain,create,USD,222,provider=openprovider
acct.pro,domain,renew,USD,222,provider=openprovider
acct.pro,domain,transfer,USD,222,provider=openprovider
actor,domain,create,USD,49,provider=openprovider
actor,domain,renew,USD,49,provider=openprovider
actor,domain,transfer,USD,49,provider=openprovider
adm.ec,domain,create,USD,39.95,provider=openprovider
adm.ec,domain,renew,USD,39.95,provider=openprovider
adm.ec,domain,transfer,USD,39.95,provider=openprovider
adult,domain,create,USD,170.98,provider=openprovider
adult,domain,renew,USD,170.98,provider=openprovider
adult,domain,transfer,USD,170.98,provider=openprovider
adult.ht,domain,create,USD,57,provider=openprovider
adult.ht,domain,renew,USD,57,provider=openprovider
adult.ht,domain,transfer,USD,57,provider=openprovider
ae,domain,create,USD,82.91,provider=openprovider
ae,domain,renew,USD,82.91,provider=openprovider
ae,domain,transfer,USD,0,provider=openprovider
ae.org,domain,create,USD,30,provider=openprovider
ae.org,domain,renew,USD,30,provider=openprovider
ae.org,domain,transfer,USD,30,provider=openprovider
aero,domain,create,USD,136.14,provider=openprovider
aero,domain,renew,USD,136.14,provider=openprovider
aero,domain,transfer,USD,136.14,provider=openprovider
af,domain,create,USD,167,provider=openprovider
af,domain,renew,USD,167,provider=openprovider
af,domain,transfer,USD,116,provider=openprovider
africa,domain,create,USD,13.98,provider=openprovider
africa,domain,renew,USD,16.98,provider=openprovider
africa,domain,transfer,USD,13.98,provider=openprovider
africa.com,domain,create,USD,27.95,provider=openprovider
africa.com,domain,renew,USD,27.95,provider=openprovider
africa.com,domain,transfer,USD,27.95,provider=openprovider
ag,domain,create,USD,150,provider=openprovider
ag,domain,renew,USD,150,provider=openprovider
ag,domain,transfer,USD,150,provider=openprovider
ag.it,domain,create,USD,19.56,provider=openprovider
ag.it,domain,renew,USD,19.56,provider=openprovider
ag.it,domain,transfer,USD,19.56,provider=openprovider
agency,domain,create,USD,28,provider=openprovider
agency,domain,renew,USD,28,provider=openprovider
agency,domain,transfer,USD,28,provider=openprovider
agrigento.it,domain,create,USD,19.56,provider=openprovider
agrigento.it,domain,renew,USD,19.56,provider=openprovider
agrigento.it,domain,transfer,USD,19.56,provider=openprovider
agro.pl,domain,create,USD,34.08,provider=openprovider
agro.pl,domain,renew,USD,42.6,provider=openprovider
agro.pl,domain,transfer,USD,0,provider=openprovider
ah.cn,domain,create,USD,33.26,provider=openprovider
ah.cn,domain,renew,USD,33.26,provider=openprovider
