tld,provider,amount
5g.in,openprovider,8.27
6g.in,openprovider,8.27
aaa.pro,openprovider,270.36
abc.br,openprovider,40.95
abogado,openprovider,29.98
abr.it,openprovider,19.28
abruzzo.it,openprovider,19.28
ac,openprovider,67.5
ac.cn,openprovider,30.22
ac.ke,openprovider,171.67
ac.mu,openprovider,118.48
ac.ni,openprovider,131
ac.nz,openprovider,26.3
ac.rw,openprovider,556.13
ac.tz,openprovider,72.54
ac.vn,openprovider,145
aca.pro,openprovider,222
academy,openprovider,52
accountant,openprovider,38
accountants,openprovider,119
acct.pro,openprovider,222
actor,openprovider,49
ad,openprovider,233.33
adm.ec,openprovider,39.95
adult,openprovider,170.98
adult.ht,openprovider,57
ae,openprovider,82.9
ae.org,openprovider,30
aero,openprovider,134.2
af,openprovider,167
africa,openprovider,13.98
africa.com,openprovider,27.95
ag,openprovider,150
ag.it,openprovider,19.28
agency,openprovider,28
agrigento.it,openprovider,19.28
agro.pl,openprovider,34.1
ah.cn,openprovider,33.26
ahmdabad.in,openprovider,8.27
ai,openprovider,109
ai.in,openprovider,8.27
aid.pl,openprovider,34.1
airforce,openprovider,105
al,openprovider,79
al.it,openprovider,19.28
alessandria.it,openprovider,19.28
alsace,openprovider,72.9
alto-adige.it,openprovider,19.28
altoadige.it,openprovider,19.28
am,openprovider,75
am.in,openprovider,8.27
amsterdam,openprovider,60.81
an.it,openprovider,19.28
ancona.it,openprovider,19.28
andria-barletta-trani.it,openprovider,19.28
andria-trani-barletta.it,openprovider,19.28
andriabarlettatrani.it,openprovider,19.28
andriatranibarletta.it,openprovider,19.28
ao,openprovider,302.24
ao.it,openprovider,19.28
aosta-valley.it,openprovider,19.28
aosta.it,openprovider,19.28
aostavalley.it,openprovider,19.28
aoste.it,openprovider,19.28
ap.it,openprovider,19.28
apartments,openprovider,52
app,openprovider,26.98
aq,openprovider,70.12
aq.it,openprovider,19.28
aquila.it,openprovider,19.28
ar,openprovider,185
ar.com,openprovider,35
ar.it,openprovider,19.28
archi,openprovider,115
arezzo.it,openprovider,19.28
army,openprovider,54
art,openprovider,35
art.ec,openprovider,39.95
arts.ro,openprovider,48.36
as,openprovider,225
ascoli-piceno.it,openprovider,19.28
ascolipiceno.it,openprovider,19.28
asia,openprovider,23.58
asn.au,openprovider,26.11
asn.lv,openprovider,27.75
asso.fr,openprovider,11.12
associates,openprovider,44
asti.it,openprovider,19.28
at,openprovider,12.33
at.it,openprovider,19.28
at.pr,openprovider,294
atm.pl,openprovider,34.1
attorney,openprovider,62
au,openprovider,13.73
auction,openprovider,41
audio,openprovider,200.36
augustow.pl,openprovider,14.21
auto,openprovider,4000.36
auto.pl,openprovider,34.1
autos,openprovider,20.98
av.it,openprovider,19.28
avellino.it,openprovider,19.28
avocat.pro,openprovider,222
aw,openprovider,264.76
ax,openprovider,120.9
az,openprovider,556.13
ba,openprovider,240.59
ba.it,openprovider,19.28
babia-gora.pl,openprovider,14.21
baby,openprovider,74
balsan-sudtirol.it,openprovider,19.28
balsan-suedtirol.it,openprovider,19.28
balsan.it,openprovider,19.28
band,openprovider,36
bank,openprovider,1567.9
bar,openprovider,100.36
bar.ec,openprovider,39.95
bar.pro,openprovider,270.36
barcelona,openprovider,26.6
