tld,provider,amount
5g.in,openprovider,11.84
6g.in,openprovider,11.84
aaa.pro,openprovider,222
abc.br,openprovider,34.72
abogado,openprovider,29.98
abr.it,openprovider,19.31
abruzzo.it,openprovider,19.31
ac,openprovider,79.8
ac.cn,openprovider,23.01
ac.ke,openprovider,171.96
ac.mu,openprovider,118.67
ac.ni,openprovider,170
ac.nz,openprovider,26.09
ac.rw,openprovider,310.01
ac.tz,openprovider,90.82
ac.vn,openprovider,145
aca.pro,openprovider,222
academy,openprovider,52
accountant,openprovider,40
accountants,openprovider,119
acct.pro,openprovider,222
actor,openprovider,49
ad,openprovider,233.72
adm.ec,openprovider,39.95
adult,openprovider,170.98
adult.ht,openprovider,57
ae,openprovider,82.9
ae.org,openprovider,30
aero,openprovider,134.42
af,openprovider,167
africa,openprovider,16.98
africa.com,openprovider,27.95
ag,openprovider,150
ag.it,openprovider,19.31
agency,openprovider,28
agrigento.it,openprovider,19.31
agro.pl,openprovider,42.71
ah.cn,openprovider,33.26
ahmdabad.in,openprovider,11.84
ai,openprovider,124
ai.in,openprovider,11.84
aid.pl,openprovider,42.71
airforce,openprovider,105
al,openprovider,75
al.it,openprovider,19.31
alessandria.it,openprovider,19.31
alsace,openprovider,73.02
alto-adige.it,openprovider,19.31
altoadige.it,openprovider,19.31
am,openprovider,75
am.in,openprovider,11.84
amsterdam,openprovider,60.91
an.it,openprovider,19.31
ancona.it,openprovider,19.31
andria-barletta-trani.it,openprovider,19.31
andria-trani-barletta.it,openprovider,19.31
andriabarlettatrani.it,openprovider,19.31
andriatranibarletta.it,openprovider,19.31
ao,openprovider,333.02
ao.it,openprovider,19.31
aosta-valley.it,openprovider,19.31
aosta.it,openprovider,19.31
aostavalley.it,openprovider,19.31
aoste.it,openprovider,19.31
ap.it,openprovider,19.31
apartments,openprovider,52
app,openprovider,26.98
aq,openprovider,55.7
aq.it,openprovider,19.31
aquila.it,openprovider,19.31
ar,openprovider,125
ar.com,openprovider,35
ar.it,openprovider,19.31
archi,openprovider,115
arezzo.it,openprovider,19.31
army,openprovider,54
art,openprovider,35
art.ec,openprovider,39.95
arts.ro,openprovider,48.44
as,openprovider,135
ascoli-piceno.it,openprovider,19.31
ascolipiceno.it,openprovider,19.31
asia,openprovider,23.58
asn.au,openprovider,13.67
asn.lv,openprovider,27.79
asso.fr,openprovider,11.2
associates,openprovider,44
asti.it,openprovider,19.31
at,openprovider,21.8
